i,j,x,y,p,w,q
9,8,0.196078,0.176471,1.210200,1.010381,0.002632
9,9,0.196078,0.196078,1.156731,1.011534,0.004869
9,10,0.196078,0.215686,1.100886,1.012687,0.008668
9,11,0.196078,0.235294,1.043512,1.013841,0.014849
9,12,0.196078,0.254902,0.985478,1.014994,0.024476
9,13,0.196078,0.274510,0.927664,1.016148,0.038825
9,14,0.196078,0.294118,0.870947,1.017301,0.059263
9,15,0.196078,0.313725,0.816186,1.018454,0.087047
9,16,0.196078,0.333333,0.764211,1.019608,0.123036
9,17,0.196078,0.352941,0.715811,1.020761,0.167343
9,18,0.196078,0.372549,0.671719,1.021915,0.219023
9,19,0.196078,0.392157,0.632603,1.023068,0.275849
9,20,0.196078,0.411765,0.599057,1.024221,0.334317
9,21,0.196078,0.431373,0.571588,1.025375,0.389894
9,22,0.196078,0.450980,0.550614,1.026528,0.437561
9,23,0.196078,0.470588,0.536452,1.027682,0.472534
9,24,0.196078,0.490196,0.529317,1.028835,0.491055
9,25,0.196078,0.509804,0.529317,1.029988,0.491055
9,26,0.196078,0.529412,0.536452,1.031142,0.472534
9,27,0.196078,0.549020,0.550614,1.032295,0.437561
9,28,0.196078,0.568627,0.571588,1.033449,0.389894
